ASIN,UPC,Title,Category,Amazon Price (£),Sales Rank,Est. Monthly Sales,Opportunity Score,Num Sellers,Num FBA Sellers,Buy Box Owner,Avg Price (90d) (£),Price Stability,Underserved,Supplier Name,Supplier Cost (£),Shipping Cost (£),Total Cost (£),Est. Profit/Unit (£),Profit Margin (%),ROI (%),Profit Potential (£),Notes
B003XDLT2E,,"Adagio Pro Mandolin String Set - Phosphor Bronze Wound (Standard Light.010 - .034 With Easy Fit Loop End Set) - 29.5"" Long Length Strings",Musical Instruments & DJ,6.49,1229,137,18.3,1,,,5.72,0.79,No,Alibaba - Demo Alibaba Supplier,1.95,1.50,3.45,-1.00,-0.2,-0.3,0.50,
B0BBR998DV,,"Women's Multivitamins & Minerals with Marine Collagen & Hyaluronic Acid | 27 Essential Vitamins, Minerals, & Botanicals | Gluten-Free & No Synthetic Fillers or Binders | 60 Tablets | Free Soul",Health & Personal Care,11.04,105,1981,18.3,1,,,10.96,0.82,No,,,,,,,,0.47,
B0CK9B1CHF,,"Nature Spell Rosemary Oil for Hair Growth with Root Comb Applicator, Pre-Diluted Oil to Strengthen and Nourish Dry, Damaged Strands, For All Hair Types, 150ml",Beauty,8.06,249,1116,18.3,1,,,9.54,0.90,No,,,,,,,,-0.25,
B0FMR7TN8D,,"3Pcs Violin Rosin,Natural Rosin for Violin Viola and Cello,Light and Low Dust Ro/sin,Cello R/osin,Vi/olin Accessories,String Instrument Accessories,R/osin Perfect for Professional and Beginner",Musical Instruments & DJ,4.99,1765,106,18.2,1,,,5.85,0.93,No,Alibaba - Demo Alibaba Supplier,1.50,1.50,3.00,-1.83,-0.4,-0.6,-0.33,
B086V74KKR,,Vitamin D3 4000IU - 1+ Year Supply - 400 Tablets - Easy to Swallow 6mm Micro Vitamin D Tablets - Gentle Cholecalciferol Form - Vegetarian-Friendly VIT D Supplement - 1 per Day - Made in The UK,Health & Personal Care,8.99,171,1374,18.1,1,,,8.69,0.83,No,,,,,,,,0.04,
B0CX5C6WP3,,"JBL GO 4 Ultra-Portable Bluetooth Speaker with Big JBL Pro Sound and Punchy Bass, PlaytimeBoost, Waterproof Design and 7-Hour Playtime, Black",Electronics & Photo,29.00,203,929,18.1,2,,,39.21,0.65,No,,,,,,,,4.25,
B0BS8LCKF6,,"Vin beauty 3 Pcs 11.8x11.8inch Soft Microfiber Cleaning Cloth Musical Instruts Instrut Polishing Cloth Universal Clean Cloth Guitar Violin Piano Brass Trumpet Sax Flute, Blue",Musical Instruments & DJ,4.99,937,166,18.1,1,,,4.34,0.90,No,Alibaba - Demo Alibaba Supplier,1.50,1.50,3.00,-1.83,-0.4,-0.6,-0.33,
B0C3JVMT7S,,"Magnesium Glycinate - 120 High Strength Capsules Pure 1040mg of Providing 208mg Elemental Per Serving -Magnesium Supplements – Bones, Muscle Health, Vegan, UK Made by New Leaf Products",Health & Personal Care,8.97,280,949,17.9,1,,,9.51,0.77,No,,,,,,,,0.04,
B06ZYB5XQF,,electrosmart 10m Red/Black 2x 1mm 2x 89 Strand Speaker Cable Wire for Home HiFi/Car Audio etc,Electronics & Photo,6.99,397,562,17.9,2,,,5.64,0.87,No,,,,,,,,-0.62,
B0C9TWKQQV,,"Lions Mane Supplement 4000mg with Vitamin B1 & Black Pepper, 180 Vegan Tablets - Lion's Mane Mushroom 15:1 Extract (Not Lions Mane Powder or Capsules), UK Made for Mental Performance & Nervous System",Health & Personal Care,8.49,30,5070,17.6,1,,,11.58,0.71,No,,,,,,,,-0.10,
B01I0SI1SG,,"Syncwire Aux Cable 3.5mm –3.3ft/1M- Nylon Braided Aux Lead for Car, Headphone, iPhone, iPad, iPod, Samsung, MP3 Player, Smartphone, Echo Dot, Tablet, Home Stereos, Laptop and More – Black",Electronics & Photo,5.99,489,480,17.6,3,,,5.43,0.87,No,,,,,,,,-0.97,
B0DDHPT96H,,Pro BRN - 90 Capsules - Slim Smart - Weight Management - for Women & Men,Health & Personal Care,15.99,1275,304,17.5,1,,,22.83,0.57,No,,,,,,,,1.51,
B09P51V2LH,,"Leebein Electric Spin Scrubber, Cordless Cleaning Brush with 8 Replaceable Brush Heads, Extendable Long Handle Bathroom Cleaning Scrubber, 300/400RPM Spin Scrubber for Bathroom Kitchen Floor Tile",DIY & Tools,36.99,83,1818,17.3,2,,,47.39,0.42,No,,,,,,,,5.92,
B09NHRW8BL,,"2Pcs Glass Slide and Stainless Steel Slide Guitar Finger Slide Bottleneck Slides for Electric Guitar Bass Acoustic Guitar Stringed Instruments Medium,6 cm",Musical Instruments & DJ,6.29,273,394,17.2,1,,,7.78,0.52,No,Alibaba - Demo Alibaba Supplier,1.89,1.50,3.39,-1.11,-0.2,-0.3,0.39,
B0B5XLMP28,,"Intimate Flora for Women | 20 Billion CFU Fortified with 15,000mg Cranberry, Fenugreek & Chlorella | Bio Cultures for Women's Intimate Flora | 60 Capsules | Free Soul",Health & Personal Care,8.49,80,2429,17.2,1,,,10.93,0.61,No,,,,,,,,-0.10,
B0DK4MJRF3,,"iPhone Charger Cable 2M, MFi Certified Lightning Cable Fast Charging iPhone Charger Nylon USB iphone Charging Cable Lead for iPhone 14 13 12 11 Pro Max XS XR X 8 7 6 Plus 5 SE,iPad",Computers & Accessories,4.98,2,68921,17.2,4,,,5.04,0.80,No,,,,,,,,-0.93,
B0C8V9WWYL,,"Champion Music Trumpet Care Kit. Cleaning and Maintenance Pack Complete with Valve Oil, Slide Grease, Cleaning Brushes, Long Cleaning Snake Brush & Polish Cloth.",Musical Instruments & DJ,22.95,3852,61,17.2,1,,,22.69,0.95,No,,,,,,,,2.98,
B097BTFK6D,,Rosin Natural for Violin Cello Viola Rosin Light Low Dust for Bows String Music Instrument Accessory Yellow with Case 3 Pack,Musical Instruments & DJ,3.99,597,227,17.1,1,,,4.69,0.84,No,Alibaba - Demo Alibaba Supplier,1.20,1.50,2.70,-2.38,-0.6,-0.9,-0.88,
B088W5HWVX,,Turmeric Tablets 2000mg with Black Pepper & Ginger - 120 High Strength Curcumin Supplements - Easy Swallow Tablets (Not Turmeric Capsules or Powder) - Vegan - UK Made,Health & Personal Care,6.45,5,19439,17.1,1,,,6.85,0.70,No,,,,,,,,-0.81,
B0DKNRCKX7,,9 Piece Sunday Blitz Cleaning Bundle All-in-One Home Cleaning Kit Perfect for Kitchen Bathroom Windows & General Surfaces,Grocery,19.99,7475,62,17.1,2,,,19.78,0.93,No,,,,,,,,2.35,
B0G1YB6KYC,,Kitchen Shelf Organiser Coffee Station - Spice Rack Storage Cupboard Organizer Black Wooden - 2 Tier Shelves for Counter Top - Small Desk Worktop Organisation Unit Free Standing Coffe Bar Accessories,Home & Kitchen,14.99,11087,74,16.9,1,,,17.56,0.76,No,,,,,,,,1.30,
B000WB2K28,,"The Hiderpaste by Hidersine Peg Paste for Violins & String Instuments - Stop your Pegs from Slipping - Perfect for Violins, Violas, Cellos and other String Instruments with Tuning Pegs",Musical Instruments & DJ,5.39,1615,113,16.9,3,,,4.06,0.52,No,Alibaba - Demo Alibaba Supplier,1.62,1.50,3.12,-1.61,-0.3,-0.5,-0.11,
B0FPG8DZRH,,Violin Bows Grip Correcting Device Beginner Enthusiasts Corrector Tool Finger Training Tool Violin Grip Enhancer,Musical Instruments & DJ,8.79,3963,60,16.8,3,,,8.79,1.00,No,,,,,,,,,
B09BCCWNSM,,"Quick Change Capo for 6-String Acoustic & Electric Guitars, Classical Guitar & Ukulele - Black",Musical Instruments & DJ,3.99,18,2644,16.6,1,,,4.27,0.69,No,Alibaba - Demo Alibaba Supplier,1.20,1.50,2.70,-2.38,-0.6,-0.9,-0.88,
